"PROCEDIMENTO","RN (alteração)","VIGÊNCIA","OD","AMB","HCO","HSO","REF","PAC","DUT","SUBGRUPO","GRUPO","CAPÍTULO"
"ACONSELHAMENTO GENÉTICO","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO)","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","109","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)","","","","","Hospitalar com Ocupação","","Referência","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATENDIMENTO PEDIÁTRICO A GESTANTES (3o TRIMESTRE)","","","","Ambulatorial","Hospitalar com Ocupação","","Referência","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR","","","","Ambulatorial","","","Referência","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATIVIDADE EDUCATIVA EM SAÚDE BUCAL","","","Odontológico","","","","","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADESESPECIAIS","","","Odontológico","","","","","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO)","","","Odontológico","","","","","","86","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
"ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA","","","Odontológico","","","","","","","CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
